PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
3.700472 3.715955 -2.418802 12.18215 -10.56058 15.80279 -16.19348 -9.323643 -2.0942 -0.5765926 124.2485 120.2405 124.2485 116.2325 122.2445 124.2485 108.2164 124.2485 108.2164 119.1271 2 1 144
-17.54402 -0.8749763 -1.105998 -23.74649 -13.4151 -23.06144 -23.63605 -6.84465 -6.072714 -12.92238 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 124.2485 109.9978 2 1 148
6.076212 0.6607703 -2.610267 11.05096 16.13417 16.3474 -4.01501 11.82047 2.216296 6.409 122.2445 108.2164 116.2325 118.2365 124.2485 120.2405 124.2485 124.2485 124.2485 120.2405 2 1 152
-10.72828 -15.86629 -18.44894 -17.20953 5.006369 4.897041 8.590988 6.972443 9.997207 -2.976555 114.2285 114.2285 116.2325 116.2325 124.2485 118.2365 124.2485 124.2485 124.2485 119.5725 2 1 154
-13.57094 -1.853704 -11.9916 -7.564903 -17.42175 -14.67472 -12.2034 -16.46317 -10.00887 -11.75034 110.2204 108.2164 108.2164 108.2164 124.2485 108.2164 122.2445 116.2325 124.2485 114.4511 2 1 159
4.155148 3.120157 -7.190792 3.269248 -4.106259 5.151843 -5.057723 0.9373384 -13.29459 -1.446181 116.2325 108.2164 124.2485 108.2164 124.2485 108.2164 124.2485 124.2485 124.2485 118.0138 2 1 161
22.54306 -17.82277 5.343095 -7.210954 1.379383 -7.497983 9.940166 -9.719922 4.109631 0.1181893 108.2164 108.2164 108.2164 108.2164 120.2405 108.2164 110.2204 122.2445 122.2445 112.8924 2 1 164
9.310612 -13.25501 -8.612675 -10.73846 9.277957 5.785934 19.80975 8.508755 8.26717 3.150448 124.2485 118.2365 124.2485 124.2485 108.2164 118.2365 116.2325 108.2164 124.2485 118.4591 2 1 171
-7.742661 5.716079 -5.407914 5.334942 22.75414 17.12965 5.192134 31.85696 0.942538 8.419541 124.2485 124.2485 124.2485 124.2485 108.2164 108.2164 108.2164 108.2164 108.2164 115.3418 2 1 174
10.50873 -7.073617 10.60486 -6.301991 1.562837 -11.17132 29.01289 -3.58557 23.23597 5.199199 124.2485 124.2485 108.2164 124.2485 124.2485 108.2164 120.2405 112.2244 124.2485 118.9045 2 1 176
8.026274 -2.715565 5.455111 0.5657136 5.720812 8.952747 26.86263 1.988329 10.46782 7.258208 120.2405 124.2485 124.2485 124.2485 108.2164 118.2365 118.2365 108.2164 118.2365 118.2365 2 1 180
