PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
39.30397 7.503932 25.95607 35.7453 76.07133 50.95958 76.48215 27.78504 30.5881 41.15505 1 2 27
45.43786 15.8732 7.064675 37.44174 66.63671 57.07964 66.98633 31.19966 15.09562 38.09061 1 2 31
46.486 -4.699399 16.57256 29.78185 36.6418 30.99674 40.2641 1.600265 2.240818 22.20941 1 2 35
8.622795 -7.515996 -12.30586 2.997388 32.78033 14.8804 33.20382 23.55693 5.952887 11.35252 1 2 37
38.22553 17.68524 36.04039 40.61339 53.39791 43.05709 54.98244 16.37689 20.8717 35.69451 1 2 40
35.30272 20.4965 27.14966 33.81969 28.873 19.77119 30.46743 -2.28952 11.2968 22.76527 1 2 45
16.86768 -1.53397 7.62775 22.02816 36.84938 32.49649 37.0638 13.75452 26.15969 21.25706 1 2 48
17.20361 -1.186685 3.738072 15.56944 31.14886 19.2035 32.24812 8.695762 13.80852 15.60324 1 2 52
19.43943 5.592013 6.255877 11.9166 33.85647 20.79904 35.23581 13.21278 11.47634 17.53159 1 2 53
7.668807 -12.33931 6.530237 3.391232 23.10186 9.894496 23.13474 3.127027 11.77619 8.476142 1 2 57
23.30909 13.53691 22.18958 20.63114 30.73374 30.54711 31.06207 3.955522 11.9787 20.88265 1 2 60
33.36159 3.77545 2.853532 46.63795 43.62493 43.71606 43.84548 37.78214 11.70543 29.70029 1 2 65
51.31093 21.22156 31.97891 49.00328 62.82685 78.60988 63.19676 37.3425 14.19564 45.52071 1 2 67
